180 180 188.5410 191.4781 196.6283
203.7300 204.8991 206.5141 218.4398 219.8053
228.768 247.9289 257.4284 256.6956 251.8107
247.7647 250.8112 246.4815 245.2802 247.1363
245.1219 246.0666 244.8496 238.8638 240.135
234.6272 230.04 230.6109 235.6474 229.3858
221.5266 219.0465 213.7142 216.0227 221.5262
221.9657 215.7121 211.382 206.4803 210.1752
217.0702 218.701 211.5039 204.3020 199.1627
191.6678 196.3907 189.6394 185.3973 184.3352
181.6674 180.5181 181.3418 180.7893 181.7154
180.8298 181.9071 177.7730 178.6085 182.7844
198.9689 209.4117 208.1948 203.7432 203.3908
205.0049 204.6321 203.991 204.2074 204.3038
205.3197 205.3718 205.2945 206.8455 206.6844
211.6155 213.1447 211.0295 202.7018 190.6074
185.0621 193.6752 205.5582 218.4312 218.5072
222.0883 219.1283 218.618 219.0559 219.9873
221.4463 224.0143 226.5823 228.5807 233.5664
231.2 232.4121 229.1569 227.9084 226.5119
227.1027 231.3130 232.8497 235.0189 236.8733
235.1939 234.7842 235.6629 234.0037 236.1399
235.1532 232.4451 228.0657 224.3955 219.5381
217.5 220.0624 220.4335 216.3440 224.5358
230.6728 226.6824 215.4 218.1608 216.5256
207.4898 198.1774 192.87 193.0541 187.7264
179.0655 173.5636 172.6904 178.4013 183.333
189.0805 188.5397 189.1131 186.6909 183.675
185.7935 191.0065 197.8612 197.0280 192.6735
188.5312 185.6467 189.7907 188.4884 192.6237
192.3236 190.9854 189.2084 192.0621 194.3092
192.4200 190.3489 189.9292 189.2605 187.9333
190.9521 194.1589 193.0478 193.5867 192.9187
193.2935 195.3097 199.5002 199.7347 199.4830
200.6418 204.9956 217.6328 229.9667 236.2432
237.9077 239.2476 242.2737 244.2827 246.011
247.8187 250.8780 252.3413 252.4174 252.4941
255.1610 257.1866 258.6882 259.0877 257.869
259.1118 255.7001 251.3625 247.3475 244.2075
240.3586 238.5211 236.8246 232.9564 230.6117
226.9448 219.2745 216.3477 220.7752 234.6525
238.0831 231.0036 228.0552 236.4968 246.8281
248.4803 238.4134 227.1920 222.1823 217.7052
213.2281 206.8692 215.4 226.9548 243.8288
252.5536 250.2381 251.3 252.7195 250.7355
251.8217 249.0672 248.1313 249.8184 251.6309
251.1177 252.9144 253.2235 254.144 251.6444
251.6087 245.7729 240.8953 234.5077 231.6172
230.0331 232.6676 239.8853 246.399 236.2344
225.7293 223.6411 221.9605 222.1472 220.2792
215.5511 213.6466 202.5258 204.5126 208.8323
209.6287 210.0031 209.3455 206.7965 203.7804
204.9520 210.0007 212.3402 209.3504 205.7957
203.1767 199.4873 197.3783 193.93 200.1872
212.2845 220.5703 220.8153 222.5167 225.3734
229.1762 233.3476 236.1253 241.0655 242.6406
243.4709 246.6701 245.3212 245.9519 246.5061
242.0872 239.2095 239.5557 237.3307 236.3685
235.6105 238.2386 238.1666 235.8139 234.3828
233.8773 232.1 231.3412 230.3593 229.4534
230.6362 233.3214 236.4517 237.3664 238.4780
238.6095 239.4956 243.4895 245.8295 242.8692
252.7708 240.1937 232.772 232.9056 232.3874
231.3140 231.4 227.6201 223.4151 223.2398
219.4809 232.8921 238.6607 235.7076 232.8619
234.3379 241.6457 245.1136 242.5731 229.5148
216.4212 206.052 204.5545 203.5894 204.3042
206.6725 208.7549 208.5686 201.1317 196.7018
193.2479 190.8613 194.1535 198.6082 203.7106
208.0741 204.0149 196.3930 192.9169 195.2162
199.1485 202.1761 204.8571 201.7478 201.5516
205.5235 205.8540 202.6718 200.8341 199.6257
200.4553 201.7930 201.3523 201.6962 200.5316
205.4228 208.9420 208.6581 212.3333 225.5599
219.795 235.6283 249.8179 255.1716 270.4816
267.9493 269.6871 266.6759 270.8194 272.1210
273.9305 273.3459 273.0746 273.6057 271.8355
265.2433 274.5146 279.2750 283.4261 280.6226
279.4936 284.9380 284.8303 279.8298 280.4544
276.4001 275.8484 283.1 283.1668 279.2685
276.7469 275.9195 271.4952 267.0710 262.6467
268.0639 265.7122 265.2086 258.8563 250.5486
252.6608 255.3293 257.4148 260.2424 261.6058
254.5763 247.9776 246.2356 246.0922 240.7301
239.4915 239.1832 230.6754 227.3765 228.0395
228.7024 229.3653 227.5242 224.0580 218.0361
210.5486 201.2404 200.9561 202.2628 203.8067
205.3505 205.4913 203.3908 201.2903 194.6353
187.7756 185.9178 186.0831 189.9823 194.6163
199.9681 205.3199 209.2407 209.3889 214.4849
218.6253 220.9972 220.6520 220.3069 214.9336
209.1796 204.8762 205.1465 202.5187 220.1528
247.6154 239.2777 237.3703 241.6663 263.5805
283.6652 294.9980 283.5003 272.7862 269.7988
268.8258 273.9792 270.1816 264.9784 266.1148
260.4257 260.3693 257.1276 252.2996 251.8911
244.1257 241.3954 250.8124 264.3834 255.1569
255.6940 246.1585 239.4738 237.7292 231.6904
227.1650 226.6086 235.7209 247.1303 249.9899
240.5847 239.1966 236.9567 237.7465 233.2713
226.3425 217.8033 215.2497 213.2406 212.8269
208.3806 206.1399 211.3066 219.0013 234.5892
232.5580 230.7988 231.2018 226.6738 228.7862
230.8552 228.3567 224.6074 219.4238 214.0811
208.8557 203.6860 199.0609 194.9369 196.9374
194.0365 192.8139 188.7197 188.1909 197.8438
193.0921 187.5674 197.8093 205.9841 215.9967
223.7482 215.1985 208.6497 205.9286 208.4108
205.0420 203.9423 203.7345 200.7951 198.0372
196.1038 196.3217 195.6021 213.8214 200.9865
206.9000 212.8136 216.1289 218.2271 227.8073
246.0287 265.3159 278.8275 260.1572 252.9917
245.7943 240.3435 245.3575 243.3240 247.1045
